"ID";"Level";"Parent";"Sub";"Name";"Infocard"
"80";"Node3_20_10";"Node3_20";"n";"Respect the rule of law";
"81";"Node3_20_11";"Node3_20";"n";"Solidarity with other journalists";
"82";"Node3_20_12";"Node3_20";"n";"Supporting colleagues in the media";
"83";"Node3_20_13";"Node3_20";"n";"Trust in the press";
"84";"Node4_2_1";"Node4_2";"n";"Disclosing potential conflicts of interest";
"85";"Node4_2_2";"Node4_2";"n";"Market information";
"86";"Node4_4_1";"Node4_4";"n";"Appearing in promotional material";
"87";"Node4_4_2";"Node4_4";"n";"Creating promotional publications or work as PR person";
"88";"Node4_4_3";"Node4_4";"n";"Guidelines for reviews of products";
"89";"Node4_4_4";"Node4_4";"n";"Naming products or trademarks";
"90";"Node4_4_5";"Node4_4";"n";"Native (hidden) advertising";
"91";"Node4_4_6";"Node4_4";"n";"Separation between editorial and commercial policy";
"92";"Node4_4_7";"Node4_4";"n";"Separation of paid and editorial content";
"93";"Node4_5_1";"Node4_5";"n";"Assisting police or security services";
"94";"Node4_5_2";"Node4_5";"n";"News blackouts";
"95";"Node4_5_3";"Node4_5";"n";"Political interests";
"96";"Node4_6_1";"Node4_6";"n";"Transparency regarding media ownership";
"97";"Node4_7_1";"Node4_7";"n";"Accepting gifts";
"98";"Node4_7_2";"Node4_7";"n";"Not associating with protesters, strikes, manifestations";
"99";"Node4_7_3";"Node4_7";"n";"Personal beliefs";
"100";"Node4_7_4";"Node4_7";"n";"Privately using information gathered in job";
"101";"Node4_7_5";"Node4_7";"n";"Sponsored or reimbursed goods by third parties";
"102";"Node4_7_6";"Node4_7";"n";"Work outside journalism";
"103";"Node5_1_1";"Node5_1";"n";"Completeness (full information)";
"104";"Node5_1_2";"Node5_1";"n";"Correctness";
"105";"Node5_1_3";"Node5_1";"n";"Distortion of facts or forgery";
"106";"Node5_1_4";"Node5_1";"n";"Distortion of the facts";
"107";"Node5_1_5";"Node5_1";"n";"Factual";
"108";"Node5_1_6";"Node5_1";"n";"Hearing all sides of a conflict (when gathering information)";
"109";"Node5_1_7";"Node5_1";"n";"Objectivity";
"110";"Node5_1_8";"Node5_1";"n";"Opinion polls";
"111";"Node5_1_9";"Node5_1";"n";"Unfounded accusations or suspicions";
"112";"Node5_3_1";"Node5_3";"n";"Manipulation of audio material";
"113";"Node5_3_2";"Node5_3";"n";"Manipulation of visual material";
"114";"Node5_4_1";"Node5_4";"n";"Balance";
"115";"Node5_4_2";"Node5_4";"n";"Bias";
"116";"Node5_4_3";"Node5_4";"n";"Impartiality";
"117";"Node5_4_4";"Node5_4";"n";"Multiple viewpoints";
"118";"Node5_5_1";"Node5_5";"n";"Correction in archives";
"119";"Node5_5_2";"Node5_5";"n";"Corrections of errors online";
"120";"Node5_5_3";"Node5_5";"n";"Retractions, apologies, clarifications";
"121";"Node5_9_1";"Node5_9";"n";"Opinions should be based on facts";
"122";"Node5_9_2";"Node5_9";"n";"Publication of 'letters to the editor' or opinions from the public";
"123";"Node5_9_3";"Node5_9";"n";"Separation between editorial and user-generated content";
"124";"Node5_9_4";"Node5_9";"n";"Separation between facts and opinions or analysis";
"125";"Node5_14_1";"Node5_14";"n";"Archive material";
"126";"Node5_14_2";"Node5_14";"n";"Indicate quotation begin and end";
"127";"Node5_14_3";"Node5_14";"n";"Plagiarism and copyright";
"128";"Node5_14_4";"Node5_14";"n";"Presenting old work as new";
"129";"Node5_14_5";"Node5_14";"n";"Use of quotes outside of original context";
"130";"Node5_14_6";"Node5_14";"n";"Use of visuals outside of original context";
"131";"Node5_20_1";"Node5_20";"n";"Truth";
"132";"Node5_20_2";"Node5_20";"n";"Use of quotes";
"133";"Node5_21_1";"Node5_21";"n";"Carefulness in selection of sources";
"134";"Node5_21_2";"Node5_21";"n";"Checking the reliability of sources";
"135";"Node5_21_3";"Node5_21";"n";"Checking the work of non-editorial staff (like freelancers)";
"136";"Node5_21_4";"Node5_21";"n";"Fact checking of news agency's content";
"137";"Node5_21_5";"Node5_21";"n";"Leaks";
"138";"Node5_21_6";"Node5_21";"n";"Naming the sources";
"139";"Node5_21_7";"Node5_21";"n";"Rumours and unconfirmed or unverified reports";
"140";"Node5_21_8";"Node5_21";"n";"Verified information";
"141";"Node6_4_1";"Node6_4";"n";"Media are NOT the public opinion";
"142";"Node6_10_1";"Node6_10";"n";"Condemn falsification of one's journalistic product";
"143";"Node6_10_2";"Node6_10";"n";"Not acting against one's convictions";
"144";"Node6_10_3";"Node6_10";"n";"Not acting against the principles of the Code of Ethics";
"145";"Node6_10_4";"Node6_10";"n";"Not be olbiged to remove content taht is not unlawfully defamatory";
"146";"Node6_10_5";"Node6_10";"n";"Refuse assignments that violate laws and ethics";
"147";"Node6_10_6";"Node6_10";"n";"Refuse to be named as author";
"148";"Node6_10_7";"Node6_10";"n";"Refuse to prepare promotional materials";
"149";"Node6_10_8";"Node6_10";"n";"Refuse to produce content not in line with reality";
"150";"Node6_10_9";"Node6_10";"n";"Refuse to write for another person";
"151";"Node6_14_1";"Node6_14";"n";"Freelancers";
"152";"Node6_14_2";"Node6_14";"n";"Media outlets have obligation to pay their authors";
"153";"Node6_14_3";"Node6_14";"n";"Obligations of editors towards outside contributors";
"154";"Node6_14_4";"Node6_14";"n";"Professional training";
"155";"Node6_14_5";"Node6_14";"n";"Salary that guarantees economic independence";
"156";"Node6_14_6";"Node6_14";"n";"Security";
"157";"Node6_14_7";"Node6_14";"n";"Time and resources";
